-84.75,-84.75,-81.55,3
-10.5,-10.5,-7.3,3
18.75,15.55,18.75,4
35.75,32.55,35.75,4
-13.75,-13.75,-10.55,3
-81.25,-81.25,-78.05,3
-42.75,-42.75,-39.55,3
-21.25,-21.25,-18.05,3
-61.5,-61.5,-58.3,3
77.5,72.9,77.5,4
35,30.4,35,4
35,30.4,35,4
30,25.4,30,4
95,90.4,95,4
80.75,76.15,80.75,4
-61.75,-61.75,-57.15,3
62.25,60.25,64.25,3
84,79.4,84,4
8.5,3.9,8.5,4
47,47,51.6,3
-84,-84,-79.4,3
-18.25,-18.25,-13.65,3
-21.75,-21.75,-17.15,3
93,88.4,93,4
89,84.4,89,4
-69,-69,-64.4,3
-58.5,-58.5,-53.9,3
-46.75,-46.75,-42.15,3
80.75,76.15,80.75,4
-66.75,-66.75,-62.15,3
34.25,29.65,34.25,4
96.75,92.15,96.75,4
-38.25,-38.25,-33.65,3
37.5,32.9,37.5,4
-54.5,-54.5,-49.9,3
83.75,79.15,83.75,4
54,54,58.6,3
25,20.4,25,4
-33.25,-33.25,-28.65,3
52,52,56.6,3
-67.75,-67.75,-63.15,3
79,74.4,79,4
64.75,-inf,64.75,855
17.5,12.9,17.5,4
65.75,61.15,65.75,4
-90.75,-90.75,-86.15,3
-85.5,-85.5,-80.9,3
-9,-9,-4.4,3
41.75,37.15,41.75,4
45,45,49.6,3
-83.5,-83.5,-78.9,3
-17,-17,-12.4,3
-8.25,-8.25,-3.65,3
23.75,19.15,23.75,4
-58.75,-58.75,-54.15,3
41.75,37.15,41.75,4
-79.75,-79.75,-75.15,3
68.75,64.15,68.75,4
-5,-5,-0.4,3
-86.75,-86.75,-82.15,3
57,57,61.6,3
-81.75,-81.75,-77.15,3
-44.25,-44.25,-39.65,3
-73.75,-73.75,-69.15,3
-53.25,-53.25,-48.65,3
-26.25,-26.25,-21.65,3
-88.5,-88.5,-83.9,3
78,73.4,78,4
10.25,5.65,10.25,4
80.75,76.15,80.75,4
95.75,91.15,95.75,4
15,10.4,15,4
-78.75,-78.75,-74.15,3
-96.5,-96.5,-91.9,3
-29.75,-29.75,-25.15,3
53.25,53.25,57.85,3
54.75,54.75,59.35,3
-48.5,-48.5,-43.9,3
96.25,91.65,96.25,4
55.75,55.75,60.35,3
8.75,4.15,8.75,4
-61,-61,-56.4,3
56.75,56.75,61.35,3
-65.75,-65.75,-61.15,3
-90.5,-90.5,-85.9,3
-28,-28,-23.4,3
96.75,92.15,96.75,4
61.25,61.25,inf,854
99.5,94.9,99.5,4
-29.75,-29.75,-25.15,3
53,53,57.6,3
-37,-37,-32.4,3
-28.75,-28.75,-24.15,3
32.5,27.9,32.5,4
50.25,50.25,54.85,3
-91,-91,-86.4,3
24.25,19.65,24.25,4
-7.75,-7.75,-3.15,3
6.5,1.9,6.5,4
53,53,57.6,3
25.5,20.9,25.5,4
24.25,19.65,24.25,4
26.25,21.65,26.25,4
77.5,72.9,77.5,4
-84.75,-84.75,-80.15,3
-23.5,-23.5,-18.9,3
-30.5,-30.5,-25.9,3
-16.5,-16.5,-11.9,3
71,66.4,71,4
