95.75,92.55,95.75,4
-83,-83,-79.8,3
-26.75,-26.75,-23.55,3
-46,-46,-42.8,3
-41,-41,-37.8,3
-87.75,-87.75,-84.55,3
-16.5,-16.5,-13.3,3
45,45,49.2,3
23.75,19.55,23.75,4
10.75,6.55,10.75,4
-28.5,-28.5,-24.3,3
97,92.8,97,4
93.25,89.05,93.25,4
78,73.8,78,4
62.5,60.5,64.5,3
24.5,20.3,24.5,4
-76,-76,-71.8,3
56.5,56.5,60.7,3
34.5,30.3,34.5,4
-69.25,-69.25,-65.05,3
3.25,-0.95,3.25,4
-86.75,-86.75,-82.55,3
13.75,9.55,13.75,4
72.25,68.05,72.25,4
52.75,52.75,56.95,3
-58.5,-58.5,-54.3,3
-59.5,-59.5,-55.3,3
-7.75,-7.75,-3.55,3
-32.25,-32.25,-28.05,3
-66.25,-66.25,-62.05,3
18.25,14.05,18.25,4
69.25,65.05,69.25,4
-96.5,-96.5,-92.3,3
-46,-46,-41.8,3
81.5,77.3,81.5,4
58.5,58.5,62.7,3
38.5,34.3,38.5,4
-16,-16,-11.8,3
-26,-26,-21.8,3
89,84.8,89,4
30.25,26.05,30.25,4
-56.75,-56.75,-52.55,3
37.5,33.3,37.5,4
-100,-100,-95.8,3
32.5,28.3,32.5,4
-42,-42,-37.8,3
-87.75,-87.75,-83.55,3
70.5,66.3,70.5,4
-7.5,-7.5,-3.3,3
55,55,59.2,3
98.25,94.05,98.25,4
-87.75,-87.75,-83.55,3
67.5,63.3,67.5,4
54,54,58.2,3
4.75,0.55,4.75,4
-46,-46,-41.8,3
26.5,22.3,26.5,4
-67.25,-67.25,-63.05,3
46.5,46.5,50.7,3
67.5,63.3,67.5,4
-69.75,-69.75,-65.55,3
64,-inf,64,959
-11,-11,-6.8,3
-24,-24,-19.8,3
21.5,17.3,21.5,4
-51.25,-51.25,-47.05,3
-50.5,-50.5,-46.3,3
59.5,59.5,63.7,3
92.5,88.3,92.5,4
-67.5,-67.5,-63.3,3
46.5,46.5,50.7,3
62.75,60.75,64.75,3
79.5,75.3,79.5,4
35.75,31.55,35.75,4
15.75,11.55,15.75,4
86,81.8,86,4
-25,-25,-20.8,3
93.25,89.05,93.25,4
-91.5,-91.5,-87.3,3
5,0.8,5,4
-75.75,-75.75,-71.55,3
-40,-40,-35.8,3
-13,-13,-8.8,3
19.25,15.05,19.25,4
-76.5,-76.5,-72.3,3
28.5,24.3,28.5,4
-81,-81,-76.8,3
66.5,62.3,66.5,4
75.75,71.55,75.75,4
-23,-23,-18.8,3
97.75,93.55,97.75,4
51,51,55.2,3
0.75,-1.25,2.75,3
-81.5,-81.5,-77.3,3
19.25,15.05,19.25,4
16.25,12.05,16.25,4
-44.5,-44.5,-40.3,3
14.5,10.3,14.5,4
75.25,71.05,75.25,4
-49.25,-49.25,-45.05,3
-5.25,-5.25,-1.05,3
39.5,35.3,39.5,4
75,70.8,75,4
8.25,4.05,8.25,4
-98.5,-98.5,-94.3,3
-54,-54,-49.8,3
-35.5,-35.5,-31.3,3
