5; 1; 20; 
4,95106; 1,05048; 23,2451; 
4,90236; 1,09881; 26,16; 
4,85391; 1,14667; 28,7917; 
4,80569; 1,19407; 31,1786; 
4,75772; 1,24101; 33,3527; 
4,70998; 1,2875; 35,3404; 
4,66249; 1,33354; 37,1641; 
4,61523; 1,37915; 38,8427; 
4,56822; 1,42432; 40,3924; 
4,52145; 1,46907; 41,8271; 
4,47492; 1,51339; 43,1585; 
4,42863; 1,55729; 44,3972; 
4,38258; 1,60077; 45,5521; 
4,33677; 1,64385; 46,631; 
4,2912; 1,68651; 47,641; 
4,24587; 1,72877; 48,5882; 
4,20078; 1,77063; 49,4778; 
4,15594; 1,81209; 50,3149; 
4,11133; 1,85316; 51,1036; 
4,06696; 1,89384; 51,8479; 
4,02284; 1,93413; 52,5511; 
3,97895; 1,97403; 53,2163; 
3,93531; 2,01356; 53,8464; 
3,89191; 2,0527; 54,4438; 
3,84875; 2,09147; 55,011; 
3,80583; 2,12986; 55,5498; 
3,76314; 2,16788; 56,0623; 
3,7207; 2,20554; 56,5502; 
3,67851; 2,24282; 57,0151; 
3,63655; 2,27974; 57,4583; 
3,59483; 2,3163; 57,8813; 
3,55335; 2,3525; 58,2852; 
3,51211; 2,38834; 58,6713; 
3,47112; 2,42382; 59,0404; 
3,43036; 2,45895; 59,3936; 
3,38985; 2,49373; 59,7319; 
3,34957; 2,52816; 60,0558; 
3,30954; 2,56224; 60,3664; 
3,26975; 2,59597; 60,6642; 
3,2302; 2,62936; 60,95; 
3,19089; 2,66241; 61,2242; 
3,15181; 2,69511; 61,4876; 
3,11299; 2,72747; 61,7407; 
3,0744; 2,7595; 61,9839; 
3,03605; 2,79119; 62,2177; 
2,99794; 2,82254; 62,4425; 
2,96007; 2,85356; 62,6588; 
2,92245; 2,88425; 62,867; 
2,88506; 2,91461; 63,0673; 
2,84791; 2,94464; 63,2603; 
2,81101; 2,97434; 63,4461; 
2,77435; 3,00372; 63,625; 
2,73792; 3,03277; 63,7974; 
2,70174; 3,06149; 63,9636; 
2,6658; 3,0899; 64,1237; 
2,6301; 3,11798; 64,278; 
2,59464; 3,14574; 64,4268; 
2,55942; 3,17319; 64,5702; 
2,52444; 3,20032; 64,7085; 
2,4897; 3,22713; 64,8419; 
2,4552; 3,25362; 64,9704; 
